Tag Team,Elo,Max Elo,Min Elo,Number of Matches
"Royal Money, Baron Black, & Mike Verna",1094.8725050406879,1095.0,1094.8725050406879,1
"Dean Alexander, Diamond Sheik, & Alex Chamberlain",1094.8725050371654,1095.0,1094.8725050371654,1
"Shawn Dean, Sean Maluta, & Ryzin",1094.8725050371654,1095.0,1094.8725050371654,1
Serpentico & The Acclaimed (Anthony Bowens & Max Caster),1094.8725050371654,1095.0,1094.8725050371654,1
"Fodder, JR Miller, & Brandon Scott",1094.8725050371654,1095.0,1094.8725050371654,1
Fuego Del Sol & The Dark Order (Evil Uno & 10),1094.8725050371654,1095.0,1094.8725050371654,1
Fuego Del Sol & The Dark Order (Evil Uno & Stu Grayson),1094.872505033056,1095.0,1094.872505033056,1
"Angel Fashion, VSK, & Shawn Donavan",1094.872505033056,1095.0,1094.872505033056,1
"Hunter Knott, Rosario Grillo, & Cameron Stewart",1094.872505033056,1095.0,1094.872505033056,1
Matt Hardy & The Hybrid2 (Angelico & Jack Evans),1094.8725050283595,1095.0,1094.8725050283595,1
"Baron Black, D3, & Louie Valle",1094.8725050283595,1095.0,1094.8725050283595,1
"David Ramos, Jake Manning, & Joey Sweets",1094.8725050283595,1095.0,1094.8725050283595,1
"Cezar Bononi, KTB, & Seth Gargis",1094.8725050283595,1095.0,1094.8725050283595,1
Vary Morales & Jersey Muscle Society (Steve Gibki & Tony Vincita),1094.8725050283595,1095.0,1094.8725050283595,1
"RSP, Andrew Palace, & Bill Collier",1094.8725050283595,1095.0,1094.8725050283595,1
The Blade & Private Party (Isiah Kassidy & Marq Quen),1094.8725050283595,1095.0,1094.8725050283595,1
Jon Moxley & Death Triangle (PAC & Rey Fénix),1094.8725050283595,1095.0,1094.8725050283595,1
"Spencer Slade, Cole Karter, & Andrew Palace",1094.8725050283595,1095.0,1094.8725050283595,1
"Jake Logan, Ryzin, & Rick Recon",1094.8725050283595,1095.0,1094.8725050283595,1
"Anthony Bennett, Ray Jaz, & Leon St. Giovanni",1094.8725050283595,1095.0,1094.8725050283595,1
"Vary Morales, Bill Collier, & D3",1094.8725050283595,1095.0,1094.8725050283595,1
"Adam Priest, Invictus Khash, & Gus De La Vega",1094.8723566320564,1095.0,1094.8723566320564,1
"Brick Aldridge, Justin Law, & Hayden Backlund",1094.8723564297654,1095.0,1094.8723564297654,1
Matt Sydal & Top Flight (Darius Martin & Dante Martin),1094.8723564256416,1095.0,1094.8723564256416,1
"Jay Marte, Richard King, & Alexander Zane",1094.8542780936664,1095.0,1094.8542780936664,1
"Luther, Serpentico, & Max Caster",1062.1484738568784,1095.0,1062.1484738568784,1
The Capital Vices (Sinn & Money) & Jon Cruz,1062.118276869947,1095.0,1062.118276869947,1
Jersey Muscle (Steve Gibki & Tony Vincita) & Danny Limelight,1060.9410191448037,1095.0,1060.9410191448037,1
"Tyshaun Perez, DK Vandu, & Joey Sweets",562.168352818747,1095.0,562.168352818747,1
"The Inner Circle (Jake Hager, Santana, & Ortiz)",545.616865824242,2103.0,545.616865824242,3
"D'Mone Solavino, Alexander Apollo, & RC Dupree",359.0335894254748,1095.0,359.0335894254748,1
"Gabriel Hodder, Adrien Soriano, & Matthew Omen",198.8988054886604,1095.0,198.8988054886604,1
"The Inner Circle (MJF, Santana, & Ortiz)",198.8988054886604,1095.0,198.8988054886604,1
"Jake St. Patrick, Sage Scott, & Chandler Hopkins",198.8727420648197,1095.0,198.8727420648197,2
Kip Sabian & The Hybrid2 (Angelico & Jack Evans),198.8727420648197,1095.0,198.8727420648197,2
Hardy Family Office (Private Party (Isiah Kassidy & Marq Quen) & Jora Johl),100.0,1095.0,100.0,1
"Penta El Zero Miedo, Eddie Kingston, & Frankie Kazarian",100.0,1095.0,100.0,1
"The Inner Circle (Sammy Guevara, Santana, & Ortiz)",100.0,1095.0,100.0,2
"D3, Faboo Andre, & Ryzin",100.0,1095.0,100.0,1
"The Inner Circle (Chris Jericho, Sammy Guevara, & Jake Hager)",100.0,1095.0,100.0,1
The Blade & The Hybrid2 (Angelico & Jack Evans),100.0,1095.0,100.0,1
"Vic Capri, Silas Young, & Ren Jones",100.0,1095.0,100.0,1
"Chandler Hopkins, Cameron Cole, & Izzy James",100.0,1095.0,100.0,1
"Jack Banning, Sinn Bodhi, & Ray Rosas",100.0,1095.0,100.0,1
"Sonny Kiss, Zack Clayton, & Xavier Walker",100.0,1095.0,100.0,1
"Larry Lazard, Terry Yaki, & Jay Lucas",100.0,1095.0,100.0,1
"Dean Alexander, Arjun Singh, & T.I.M.",100.0,1095.0,100.0,1
Lance Archer & The Lucha Brothers (Penta El Zero Miedo & Rey Fénix),100.0,1095.0,100.0,1
"Jay Lyon, Midas Black, & Ken Broadway",100.0,1095.0,100.0,1
"Kekoa, Omkar, & JT Dunn",100.0,1095.0,100.0,1
Bullet Club (The Young Bucks (Matt Jackson & Nick Jackson) & El Phantasmo),100.0,1095.0,100.0,1
Chaos Project (Luther & Serpentico) & RSP,100.0,1095.0,100.0,1
Chaos Project (Luther & Serpentico) & Cole Karter,100.0,1095.0,100.0,1
Serpentico & The Hybrid2 (Angelico & Jack Evans),100.0,1095.0,100.0,1
"Jay Lethal, Satnam Singh, & Sonjay Dutt",100.0,1095.0,100.0,1
"Adrian Alanis, Liam Gray, & Justin Corino",100.0,1095.0,100.0,1
"Dan Barry, Kit Sackett, & Justin Law",100.0,1095.0,100.0,1
M'Badu & TNT (Terrence Hughes & Terrell Hughes),100.0,1095.0,100.0,1
"Eddie Kingston, Wheeler Yuta, & Shota Umino",100.0,1095.0,100.0,1
