Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Myka Madrid,1094.9999999098707,1095.0,1094.9999999098707,1
Mylo,1094.500983334357,1095.0,1094.500983334357,2
Natalia Markova,1094.993087713265,1095.0,1094.993087713265,3
Nikita Knight,1094.999978032379,1095.0,1094.999978032379,2
Nikki Victory,1094.8864369954272,1095.0,1094.8864369954272,3
Notorious Mimi,1091.4012612282945,1095.0,1091.4012612282945,3
Paris Van Dale,1094.9999999998681,1095.0,1094.9999999998681,1
Priscilla Kelly,900.4907676828401,1095.0,900.4907676828401,1
Promise Braxton,1094.9921877694487,1095.0,1094.9921877694487,2
Queen Aminata,751.8482871082512,1095.0,751.8482871082512,8
Rachael Ellering,1095.0,1095.0,1095.0,1
Raché Chanel,1093.7647985665312,1095.0,1093.7647985665312,7
Rahne Victoria,1095.0,1095.0,1095.0,1
Ray Lyn,1094.2318298416085,1095.0,1094.2318298416085,3
Raychell Rose,1087.3121119216191,1095.0,1087.3121119216191,2
Rebecca Scott,1094.9957672649566,1095.0,1094.9957672649566,1
Reka Tehaka,100.0,1095.0,100.0,13
Renee Michelle,870.2005876299014,1095.0,870.2005876299014,10
Riley Shepard,1094.9999999990987,1095.0,1094.9999999990987,1
Rin Kadokura,100.0,1095.0,100.0,1
Robyn Renegade,1104.3353689959613,1150.9080497903458,1094.7837051067324,16
Rocky Radley,1094.865897112397,1095.0,1094.865897112397,1
Ruthie Jay,1094.9909860751216,1095.0,1094.9909860751216,1
Ryo Mizunami,6135.0000534557485,6135.000053477429,1095.0,11
Sahara Seven,799.3326329050126,1095.0,799.3326329050126,5
Sandra Moone,1094.9997684214543,1095.0,1094.9997684214543,1
Santana Garrett,1094.8570709209678,1095.0,1094.8570709209678,4
Savannah Evans,1094.9999999408492,1095.0,1094.9999999408492,1
Savannah Thorne,1087.3382144454774,1095.0,1087.3382144454774,1
Selene Grey,1095.0,1095.0,1095.0,1
Session Moth Martina,100.0,1095.0,100.0,3
Shaloncé Royal,1091.3835624962917,1095.0,1091.3835624962917,5
Shawna Reed,1094.579039465467,1095.0,1094.579039465467,5
Shoko Nakajima,1094.9999999999332,1095.0,1094.9999999999332,1
Sierra,1094.9946334220472,1095.0,1094.9946334220472,4
Skye Blue,2339.8478754205976,2438.5939427481567,1094.5941659362445,29
Skyler Moore,438.55539824973454,1095.0,438.55539824973454,11
Steff MK,1095.0,1095.0,1095.0,1
Sofia Castillo,1094.9999999990987,1095.0,1094.9999999990987,1
Tesha Price,1069.3731722405587,1095.0,1069.3731722405587,18
Tiffany Nieves,1094.9998445972287,1095.0,1094.9998445972287,2
Tina San Antonio,1095.0,1095.0,1095.0,1
Tootie Lynn,1094.9999999999611,1095.0,1094.9999999999611,2
Tracy Nyxx,1094.999999953888,1095.0,1094.999999953888,1
Trish Adora,1094.261343946909,1095.0,1094.261343946909,4
Valentina Rossi,450.56370426833706,1095.0,450.56370426833706,10
VENY,1094.8810668148044,1095.0,1094.8810668148044,1
Vertvixen,376.64954388188613,1095.0,376.64954388188613,6
Vicky Dreamboat,199.0006974315391,1095.0,199.0006974315391,3
Vipress,1089.7934499830958,1095.0,1089.7934499830958,7
Viva Van,534.5795592513035,1095.0,534.5795592513035,5
Willow Nightingale,1264.700680328271,1264.700680328271,1088.158012273448,19
Xtina Kay,1094.9942574295778,1095.0,1094.9942574295778,2
Zeda Zhang,1094.9999999098734,1095.0,1094.9999999098734,4
