Tag Team,Elo,Max Elo,Min Elo,Number of Matches
Baron Black & Vary Morales,1095.0,1095.0,1095.0,1
Lee Johnson & Sean Maluta,1095.0,1095.0,1095.0,1
Rohit Raju & Ren Jones,1095.0,1095.0,1095.0,1
Isaiah Broner & GPA,1095.0,1095.0,1095.0,1
Jordan Kross & Joey Jett,1095.0,1095.0,1095.0,1
Terry Yaki & Jay Lucas,1095.0,1095.0,1095.0,1
Jaden Valo & Steve Peña,1095.0,1095.0,1095.0,1
Chase Emory & Patrick Scott,1094.9999999999995,1095.0,1094.9999999999995,1
Camaro Jackson & SK Bishop,1094.9999999999995,1095.0,1094.9999999999995,1
The Dark Order (Alex Reynolds & Colt Cabana),1094.9999999999995,1095.0,1094.9999999999995,1
Jah-C & JDX,1094.9999999999995,1095.0,1094.9999999999995,1
Baron Black & VSK,1094.9999999999995,1095.0,1094.9999999999995,1
Brady Pierce & Sabby,1094.9999999999995,1095.0,1094.9999999999995,1
Demetri Jackson & Storm Thomas,1094.9999999999995,1095.0,1094.9999999999995,1
Bshp King & M'Badu,1094.9999999999995,1095.0,1094.9999999999995,1
Brandon Cutler & Shawn Spears,1094.9999999999995,1095.0,1094.9999999999995,1
Adam Priest & Sean Maluta,1094.9999999999995,1095.0,1094.9999999999995,1
Kenny Omega & Michael Nakazawa,1094.9999999999604,1095.0,1094.9999999999604,1
The Factory (Aaron Solo & Cole Karter),1094.9999999999598,1095.0,1094.9999999999598,1
David Ali & Aaron Frye,1094.9999999999593,1095.0,1094.9999999999593,1
Death Triangle (PAC & Penta El Zero Miedo),1094.9999999999245,1095.0,1094.9999999999245,3
Azrieal & Danny Limelight,1094.9999999978413,1095.0,1094.9999999978413,1
Ryzin & John Skyler,1094.9999999978413,1095.0,1094.9999999978413,1
Jake St. Patrick & Spencer Slade,1094.9999999978413,1095.0,1094.9999999978413,1
The Wingmen (Peter Avalon & JD Drake),1094.9999999888148,1095.0,1094.9999999888148,2
Mike Magnum & Stone Rockwell,1094.9999999888148,1095.0,1094.9999999888148,1
Brick Aldridge & Aaron Frye,1094.9999999888148,1095.0,1094.9999999888148,1
Lucas Chase & Irvin Legend,1094.9999999888148,1095.0,1094.9999999888148,1
Chad Lennex & Caine Carter,1094.9999999368963,1095.0,1094.9999999368963,1
Zack Clayton & Mike Orlando,1094.9999999368924,1095.0,1094.9999999368924,1
Justin Fowler & JT Energy,1094.9999999321003,1095.0,1094.9999999321003,1
Brandon Bullock & Jameson Ryan,1094.999999883733,1095.0,1094.999999883733,1
Axel Rico & Victor Iniestra,1094.999999883732,1095.0,1094.999999883732,1
Jay Marte & Richard King,1094.9999998724952,1095.0,1094.9999998724952,1
Obariyon & Kodama,1094.9999998537048,1095.0,1094.9999998537048,1
Mike Verna & Anthony Gangone,1094.9999998537048,1095.0,1094.9999998537048,1
Sean Maluta & Jaka,1094.9999998537048,1095.0,1094.9999998537048,1
Adrien Soriano & Matthew Omen,1094.9999998537048,1095.0,1094.9999998537048,1
Goldy & Breaux Keller,1094.9999998537048,1095.0,1094.9999998537048,1
Avery Good & JT Dunn,1094.9999998537048,1095.0,1094.9999998537048,1
Movie Myk & Alexander Moss,1094.9999998537048,1095.0,1094.9999998537048,1
Joe Coleman & Idris Abraham,1094.9999998537048,1095.0,1094.9999998537048,1
Brayden Lee & Isaiah Moore,1094.9999998537048,1095.0,1094.9999998537048,1
Kevin Matthews & Joey Ace,1094.9999998504697,1095.0,1094.9999998504697,1
Blanco Loco & Axton Ray,1094.9999998504697,1095.0,1094.9999998504697,1
Sotheara Chhun & VSK,1094.999999818896,1095.0,1094.999999818896,1
Shawn Dean & Adam Priest,1094.999999818896,1095.0,1094.999999818896,1
Jay Freddie & Marcus Kross,1094.9999995825472,1095.0,1094.9999995825472,1
M'Badu & Baron Black,1094.9999994122084,1095.0,1094.9999994122084,1
Dean Alexander & Brick Aldridge,1094.9999994122084,1095.0,1094.9999994122084,1
Lee Johnson & Shawn Dean,1094.9999988065877,1095.0,1094.9999988065877,1
Ryzin & Danny Limelight,1094.9999988065877,1095.0,1094.9999988065877,1
Fuego Del Sol & D3,1094.9999988065877,1095.0,1094.9999988065877,1
David Ali & Vary Morales,1094.9999988065877,1095.0,1094.9999988065877,1
Kevin Bennett & Kevin Blackwood,1094.9999988065877,1095.0,1094.9999988065877,1
Vary Morales & Michael Martinez,1094.999998806562,1095.0,1094.999998806562,1
Colin Delaney & Cheech,1094.999998806562,1095.0,1094.999998806562,1
The Dark Order (Alex Reynolds & Alan Angels),1094.999998806562,1095.0,1094.999998806562,1
Shawn Dean & Robert Anthony,1094.999998806562,1095.0,1094.999998806562,1
Baron Black & Tamilian Vineesh,1094.999998806562,1095.0,1094.999998806562,1
The Dark Order (Colt Cabana & Alan Angels),1094.999998806562,1095.0,1094.999998806562,1
PB Smooth & Matt Justice,1094.999998806562,1095.0,1094.999998806562,1
Shawn Dean & Will Hobbs,1094.9999987243702,1095.0,1094.9999987243702,1
Fuego Del Sol & Rembrandt Lewis,1094.9999987214358,1095.0,1094.9999987214358,1
Vary Morales & Spencer Slade,1094.9999987214358,1095.0,1094.9999987214358,1
Shane Mercer & KTB,1094.9999987214355,1095.0,1094.9999987214355,1
Papadon & Sean Maluta,1094.9999987214355,1095.0,1094.9999987214355,1
Ryzin & Mike Verna,1094.9999987146048,1095.0,1094.9999987146048,1
Jon Cruz & Danny Limelight,1094.9999987146048,1095.0,1094.9999987146048,1
Fuego Del Sol & Jon Cruz,1094.9999903718096,1095.0,1094.9999903718096,1
KC Navarro & AJ Kirsch,1094.9999903718096,1095.0,1094.9999903718096,1
Tony Vega & Steven Stetson,1094.9999903718096,1095.0,1094.9999903718096,1
Strong Hearts (CIMA & T-Hawk),1094.9999872437022,1095.0,1094.9999872437022,1
Michael Nakazawa & Peter Avalon,1094.9999872437022,1095.0,1094.9999872437022,1
Big Game Leroy & EJ Lewis,1094.9999871460614,1095.0,1094.9999871460614,1
Brady Pierce & Musa,1094.9999871460614,1095.0,1094.9999871460614,1
Baron Black & Tony Donati,1094.9999871460595,1095.0,1094.9999871460595,1
Faboo Andre & Ryzin,1094.9999871460595,1095.0,1094.9999871460595,1
Carlie Bravo & Cyrus,1094.9999678802346,1095.0,1094.9999678802346,1
D3 & Ryzin,1094.9999678802346,1095.0,1094.9999678802346,1
The Tate Twins (Brandon Tate & Brent Tate),1094.9999678801191,1095.0,1094.9999678801191,1
Mike Reed & Ryan Rembrandt,1094.9998162031886,1095.0,1094.9998162031886,2
David Ali & Jon Cruz,1094.9998162019826,1095.0,1094.9998162019826,1
Rex Lawless & Dean Alexander,1094.9996790929104,1095.0,1094.9996790929104,1
Panda Express (Super Panda & Ultimo Panda),1094.9996790929101,1095.0,1094.9996790929101,1
Fuego Del Sol & Ryzin,1094.9996790929101,1095.0,1094.9996790929101,1
Angel Fashion & VSK,1094.9996790929101,1095.0,1094.9996790929101,1
Eric Watts & Ray Rosas,1094.9996790915652,1095.0,1094.9996790915652,1
Danny Limelight & KC Navarro,1094.9996790915652,1095.0,1094.9996790915652,1
Sean Carr & Marcus Kross,1094.99957683381,1095.0,1094.99957683381,1
Mike Orlando & Shayne Stetson,1094.99957683381,1095.0,1094.99957683381,1
VSK & Eric James,1094.9995768335068,1095.0,1094.9995768335068,1
Shawn Dean & Tyson Maddux,1094.9995768335068,1095.0,1094.9995768335068,1
KC Navarro & El Australiano,1094.9995768335068,1095.0,1094.9995768335068,1
Alex Chamberlain & Sean Maluta,1094.9995722459103,1095.0,1094.9995722459103,1
